Gene,AgingVeh1,AgingVeh2,AgingVeh3,AgingVeh4,AgingVeh5,AgingVeh6,AgingVeh7,AgingVeh8,AgingVeh9,YoungVeh1,YoungVeh2,YoungVeh3,YoungVeh4,YoungVeh5,YoungVeh6,YoungVeh7,YoungVeh8,YoungVeh9,YoungVeh10,YoungVeh11,YoungVeh12,YoungVeh13,YoungVeh14,YoungVeh15,YoungVeh16,YoungVeh17,YoungVeh18,YoungVeh19,YoungVeh20
Abcb9,-0.795917082,0.033023982,-0.876581763,-0.448967752,-0.823369422,-0.841488573,-0.666063161,-0.967620367,-0.725730703,-0.460256754,-0.27146492,-0.273288996,2.289132001,1.20290506,1.534471352,1.189335964,-1.931059653,-0.21803977,0.086449132,-0.16221292,1.023112,-0.169053203,2.066827843,1.39136248,-0.30521032,0.184675608,0.181128794,-0.264867846,-0.981231012
Abcc12,0.19322827,1.066366491,0.706012618,2.104886183,0.023537019,2.101406595,0.344323218,1.784027793,-1.024887946,-1.093446648,-1.093446648,-0.967367189,-1.093446648,0.545749461,0.549828231,0.642643699,0.892805824,-1.081109994,0.477204476,0.100383925,-1.06831031,-1.027542612,-1.069780327,-0.763002067,-0.113502418,-1.065368037,-0.175774039,-0.322436484,0.427017563
Acss3,-0.753049483,-0.358635831,-0.325665938,-1.135927782,-1.186155482,-1.312041276,-1.054095028,-1.125124181,0.532003488,0.164919494,0.073927522,0.711159091,3.442644848,0.172968752,0.004008327,0.112767865,-2.119507668,0.124911638,0.318537818,0.954051007,0.877406283,0.658908799,0.072422911,-0.185334234,0.885159552,-0.044558545,0.289325342,0.231278598,-0.026305886
Adipoq,-1.345797512,-0.979138746,-1.150554156,-1.384413367,-1.061880428,-0.811322469,-1.286960518,-2.098522735,-0.43374352,0.709038669,-0.222399992,1.487134324,1.378377589,-0.23620562,0.847624463,0.515990093,-1.011385133,-0.045758549,0.715599987,0.850018769,1.312388373,1.346537927,0.895080831,-0.036895013,0.123815087,-0.081373847,0.251902771,1.003323404,0.749519319
Agt,-0.292183802,-0.629199008,-0.289599752,1.780630296,2.476436406,2.541821566,0.642008124,1.557574571,1.17877906,-0.472907571,-0.647969659,0.315895283,-0.949025932,-0.634817138,0.246953426,-0.419949076,-0.296524424,-0.572161199,-0.164389494,-0.18156326,-0.515137907,0.072428472,-0.545827123,-0.541863946,-1.529072436,-0.990443308,-0.352850894,-0.577793846,-0.20924743
Ambp,0.240461116,0.039200059,-0.035190151,1.85630309,2.040715429,1.359996022,2.071348894,2.121345905,1.555122896,-0.697737903,-0.66692347,-0.730156085,-0.898218926,-0.510005744,-0.522960536,-0.553051098,-0.710037467,-0.712764464,-0.655928122,-0.462355073,-0.247446555,-0.62631806,-0.424851075,-0.06241019,-0.896115957,-0.442149092,-0.136475907,-0.723316753,-0.570080784
Ank2,0.259136479,-0.059670812,0.617073371,1.403137217,1.598613538,3.389413942,2.216498789,-1.364119606,-0.060910751,-0.157940715,-0.282950371,-0.323601282,-0.673473804,-0.29405736,-0.4841781,-0.412676563,-1.364119606,-0.402461377,-0.325246585,-0.347069504,-0.719747358,-0.252514648,-0.454257427,-0.115215292,-0.548030169,-0.353154741,-0.288544402,-0.212588625,0.012655761
Apcs,-0.505887407,-0.443016629,0.044645745,0.982853875,1.703189553,2.384467947,3.262354063,1.42805811,0.571718251,-0.479465089,-0.483928242,-0.611813162,-0.027327763,-0.525279038,-0.479341216,-0.645042071,-0.819277345,-0.510376836,-0.654216122,-0.568927101,-0.431237508,-0.458568222,-0.514641043,-0.222182505,-0.256191058,-0.401932345,-0.500898735,-0.405134254,-0.432603856
Arhgap29,-1.379682461,-0.701647585,-0.131645418,0.894699317,1.26314011,2.900607081,1.933602827,1.503333392,0.408178151,-0.718648585,-0.643668084,-0.407441917,1.605283621,-0.219621195,-0.770483831,-0.869564096,-0.632384491,-0.664197553,-0.439118773,0.037817613,0.035297278,-0.296968665,-0.678322153,-0.197817617,0.571324257,-0.782270419,-0.282297099,-0.626242381,-0.711261322
Arhgap30,0.608476736,0.274807437,1.113097298,1.070155625,0.605938377,1.456617536,0.534706492,3.260496634,-0.301650008,-0.300282187,-0.658730082,-0.181531691,-1.114899547,-0.111233606,-0.017735181,-0.660755508,-2.292841607,-0.578318017,-0.433447408,-0.142890761,-0.162776767,0.217201149,0.792080339,0.291234436,-1.290023978,-0.696660797,-0.631794539,-0.523210631,-0.126029742
Arsb,-0.458510011,-0.358869441,0.098743828,1.001404948,1.088508446,2.979638362,1.837311017,2.638250153,-0.159323062,-0.584370719,-0.435027297,-0.402232891,0.009666228,-0.078722968,-0.48395468,-0.567164639,-1.439821419,-0.432008438,-0.441878953,-0.390868132,-0.339132461,-0.491436024,-0.507002079,-0.296631542,0.526300114,-0.40539348,-0.575974201,-0.678279304,-0.653221356
Bicd1,1.471047686,0.385817164,0.717173242,1.094026106,0.435750528,0.213902922,0.118222823,3.887282609,0.023173844,-0.040644132,-0.623097982,-0.823043893,-1.164085456,-0.504810086,-0.08873413,0.022005337,-1.925770776,-0.238515475,-0.49762408,-0.631971136,-0.657484579,-0.615680775,0.005896187,-0.050342115,-0.770454832,0.232617779,-0.181839764,0.086673136,0.120509848
Blvrb,-0.820123306,-0.97967393,-0.976941447,-0.635973295,-0.493607333,-0.662652074,-0.550064076,0.104900368,0.768731202,0.355498278,2.839059538,-0.566669622,-0.02187808,-0.467575304,-0.60300174,-0.476554417,-0.41489479,1.578760589,-0.55105745,-0.924762552,2.079716872,1.860265809,1.129054643,-0.597978509,-0.419953247,0.472660022,-0.240022257,-0.172877939,-0.612385952
C1qa,-0.339706354,-0.234455677,-0.321129755,2.12632244,1.936528603,2.018644187,1.344726484,2.600034052,-0.186100532,-0.12705319,-0.070232866,-0.192046214,-0.981046068,-0.306025301,-0.460316359,-0.333977943,-1.674630899,-0.372860944,-0.464210509,-0.648154765,-0.550604644,-0.911995942,-0.409817761,-0.14284288,-0.063823396,-0.409792692,-0.386014145,-0.120263497,-0.319153433
C1qb,-0.300084209,-0.097219908,-0.186510761,1.732030634,2.211394692,1.478048816,1.294085253,3.101835404,-0.677260561,-0.090228901,-0.054192082,-0.284303733,-1.384812728,-0.495443655,-0.437176244,-0.33625963,-0.190858167,-0.830521837,-0.361698379,-0.71575843,-0.78988745,-0.847766097,-0.323967897,0.080807384,-0.54875854,-0.465572987,-0.346925312,-0.010126423,-0.122868252
C1qc,-0.426637405,-0.102239924,-0.388347161,2.159446558,2.27755946,1.833424283,1.478665159,2.256068649,-0.117466497,-0.173357443,-0.172459726,-1.37567556,-1.046858738,-0.24767509,-1.427018565,-0.39509117,-0.473133231,-0.45841116,-0.329649302,-0.585981008,-0.55982355,-0.532283658,-0.367202577,0.066120422,-0.274156517,-0.337478981,-0.103352797,-0.001025378,-0.175959093
C4b,-0.681239941,-0.079196065,-0.224132554,2.016808539,2.797235785,2.284383594,2.317830476,0.166081069,-0.045749183,-0.391366964,-0.302175279,-0.380218003,-0.792729548,-0.257579436,-0.625495138,-0.547452413,-0.514005531,-0.547452413,-0.480558649,-0.357920082,-0.692388902,-0.625495138,-0.67009098,0.455954046,-0.246430475,-0.458260728,-0.246430475,-0.313324239,-0.558601374
Cables1,0.485452574,0.42847319,1.391704047,0.941023659,1.224350553,1.220057301,1.264976674,3.264145804,-0.390394611,-0.361825723,-0.461555623,-0.507961656,-0.902283724,-0.480044398,0.051939639,0.468557443,-1.222206083,0.147672229,-0.70373954,-0.420482115,-0.768545427,-0.988744833,0.476004639,-0.380631282,-0.681627204,-0.987543,-0.882251323,-1.059176409,-0.165344802
Ccdc150,-0.360624606,-0.021136901,-0.601667362,-1.128872492,-1.071111243,-1.51154334,-0.873673117,-2.005315503,-2.093438471,0.942621476,0.705911478,0.630309293,0.568589614,1.413860357,1.620594752,1.345656281,-0.016863093,0.573836082,0.503893008,0.303908281,1.037293685,0.277764368,0.889066244,0.263115524,-0.494910592,0.808247066,-0.301203942,-0.240162178,-1.164144669
Cd2ap,-1.349052855,-0.453786172,-0.229563126,-0.690840503,0.319177277,-0.240382593,1.175158439,-0.867608339,-1.192601785,0.240092061,0.41500723,0.723172963,-0.332618753,-1.349052855,-0.990586258,-0.501237302,-1.349052855,0.742379761,0.878459655,0.53158107,-0.856659648,0.456100529,-1.349052855,0.027579448,2.972422345,0.931414376,0.990748691,0.798014184,0.550787868
Cd5l,0.042175496,0.153265787,0.077779581,1.967728971,0.798777891,1.922570373,0.619918502,3.841509184,-0.667264486,-0.360491098,-0.536789211,-0.435396267,-0.532968099,-0.345933985,-0.667264486,-0.329822356,-0.667264486,-0.282240462,-0.667264486,-0.472676205,-0.558460207,-0.45689323,-0.37989411,-0.237095037,-0.411617453,-0.364251194,-0.48118513,-0.281269756,-0.287684038
Ceacam15,3.054107027,1.579907427,0.847009909,2.004159228,0.70156004,0.075625768,0.140609514,-0.264466666,-1.219419059,0.489090267,-0.098362796,-0.365473069,-1.742164558,0.004685179,0.540422011,-0.09469663,0.118184706,-0.002955827,-0.373937202,-0.934519486,-0.556817709,-0.493041578,0.471826252,-0.018530265,-1.461185671,-0.658733884,-0.989928961,-0.458172383,-0.294781584
Cfb,-0.142771846,0.250982208,0.083935034,2.004977542,1.647019311,3.138511942,1.205537492,1.802134544,-0.0711802,-0.250159316,-0.906416073,-0.333682903,-1.252442364,-0.142771846,-0.345614844,-0.548457842,-0.512662019,-0.429138431,-0.262091257,-0.584253665,-0.918348014,-0.691641135,-0.667777252,0.107798916,-0.381410667,-0.393342608,-0.357546785,-0.500730078,-0.548457842
Cfh,-0.425487767,-0.246371143,-0.319344582,2.360770837,2.20155606,2.234725805,2.121948671,1.412116122,0.363952171,-0.365782226,-0.339246429,-0.518363054,-1.015909233,-0.418853818,-0.54489885,-0.631140188,-0.425487767,-0.352514328,-0.518363054,-0.584702545,-0.743917322,-0.505095156,-0.631140188,0.105228157,-0.637774137,-0.299442735,-0.312710633,-0.471925411,-0.491827258
Cfp,0.75639643,1.17529347,0.187050113,3.113900855,1.695212763,1.344822943,-0.19047438,2.021302636,-0.379405265,-0.286638249,-0.399955022,-0.5146209,-1.537539462,-0.470654538,-0.300426421,-0.15860981,-0.711509897,-0.508011892,-0.532978361,-0.747285265,-0.914807141,-0.565983247,-0.202857235,-0.086834222,-1.062325327,-0.157838893,-0.428358496,-0.0634658,-0.073399387
Chmp5,-0.717525931,-0.148271869,-0.329726926,-0.339841256,-0.227954519,-0.312291782,-0.148137061,-0.470657257,-0.230107699,-0.956261201,-0.956261201,0.343948892,4.248818126,0.559866067,0.098153063,-0.956261201,-0.123796762,-0.956261201,0.324053506,0.534990281,0.56204546,0.122650638,-0.150702154,-0.038092697,1.664058115,-0.956261201,0.134858234,-0.207568582,-0.367461879
Colec11,1.395775119,1.693701828,1.380992354,2.40338626,1.226089828,0.74978318,0.082834716,-0.362014804,-0.489314146,0.117173925,-1.000701004,-0.864196877,-2.167381399,-0.361601482,0.573346969,0.285395834,0.366790409,-0.670144227,0.107276547,-0.242274407,-1.474970833,-1.452342404,-0.898647794,-0.092108324,-0.264645906,-0.100881169,-0.280683531,-0.036738118,0.376099455
Cp,0.126290957,-0.033096117,0.185194876,0.691075589,0.635636607,1.650862969,0.628706734,4.457461445,0.216379304,-0.431563801,-0.500862529,-0.348405328,-0.719153522,-0.52858202,-0.507792402,-0.348405328,-0.552836575,-0.421168992,-0.441958611,-0.462748229,-0.597880748,-0.393449501,-0.563231384,-0.2791066,-0.497397593,-0.223667618,-0.143974081,-0.313755964,-0.282571537
