Protein,ProteinName,Gene,nFragment,nPeptide,AgedMacro_Aging_Macro_10_1,AgedMacro_Aging_Macro_12_1,AgedMacro_Aging_Macro_14_1,AgedMacro_Aging_Macro_17_1,AgedMacro_Aging_Macro_25_1,AgedMacro_Aging_Macro_27_1,AgedMacro_Aging_Macro_31_1,AgedMacro_Aging_Macro_34_1,AgedMacro_Aging_Macro_38_1,AgedMacro_Aging_Macro_42_1,AgedMacro_Aging_Macro_45_1,AgedMacro_Aging_Macro_46_1,AgedMacro_Aging_Macro_53_1,AgedVehicle_Aging_Macro_11_1,AgedVehicle_Aging_Macro_16_1,AgedVehicle_Aging_Macro_18_1,AgedVehicle_Aging_Macro_23_1,AgedVehicle_Aging_Macro_26_1,AgedVehicle_Aging_Macro_29_1,AgedVehicle_Aging_Macro_33_1,AgedVehicle_Aging_Macro_37_1,AgedVehicle_Aging_Macro_54_1,Young_Aging_Macro_101_1,Young_Aging_Macro_102_1,Young_Aging_Macro_103_1,Young_Aging_Macro_104_1,Young_Aging_Macro_105_1,Young_Aging_Macro_106_1,Young_Aging_Macro_107_1,Young_Aging_Macro_108_1,Young_Aging_Macro_109_1,Young_Aging_Macro_110_1,Young_Aging_Macro_111_1,Young_Aging_Macro_112_1,Young_Aging_Macro_113_1,Young_Aging_Macro_114_1,Young_Aging_Macro_115_1,Young_Aging_Macro_116_1,Young_Aging_Macro_117_1,Young_Aging_Macro_118_1,Young_Aging_Macro_119_1,Young_Aging_Macro_120_1
P01736|TVB3_MOUSE,T-cell receptor beta chain V region PHDS203 (Fragment),0,6,1,0,76363.5,99361.4,0,310716,187686,262779,20886.5,282182,25299.3,129989,161425,217251,34307.8,190298,0,258573,115794,328249,168948,179584,42570.2,13237.5,9682.19,16491.1,6490.89,211844,0,0,0,10945.8,187692,181685,4213.3,15615.1,0,46842.6,151866,14808.3,125100,95042.3,0
Q91Z58|CF132_MOUSE,Uncharacterized protein C6orf132 homolog,AI661453,6,1,568795,760413,819031,892930,418983,425547,505705,646429,554466,565258,693000,539607,622933,866821,934671,815807,643790,513355,478609,523242,495366,456632,932280,972427,953915,506266,1.06E+06,1.13E+06,1.00E+06,0,831134,830891,766452,691094,806829,991401,851746,658097,972303,779146,895365,683772
Q6GQT1|A2MG_MOUSE,Alpha-2-macroglobulin-P (Alpha-2-macroglobulin),A2m,6,1,1.51E+06,934522,925664,1.07E+06,947555,1.17E+06,733124,1.54E+06,1.73E+06,1.29E+06,701132,765281,1.90E+06,974660,1.14E+06,959217,964595,1.17E+06,816102,990658,249720,1.42E+06,1.18E+06,1.36E+06,1.27E+06,1.26E+06,1.27E+06,969885,1.12E+06,1.21E+06,1.12E+06,1.18E+06,1.41E+06,1.24E+06,1.25E+06,1.06E+06,1.34E+06,1.95E+06,1.44E+06,1.41E+06,1.19E+06,1.15E+06
Q9JJ59|ABCB9_MOUSE,ATP-binding cassette sub-family B member 9 (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (mABCB9) (TAP-like protein) (TAPL),Abcb9,6,1,138788,75949.2,138540,156700,72362,86446.4,89034.2,126565,82414.3,153644,83847,98155.5,158642,112016,193816,104056,146253,109307,107519,124830,95072.3,118942,145139,163769,163589,416449,309260,341979,307921,0,169041,199088,174550,291518,173875,394512,327857,160439,208781,208431,164420,93729.2
Q80WJ6|MRP9_MOUSE,ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9),Abcc12,6,1,228958,231199,379202,247189,671478,150411,481105,19000.8,333037,12863.8,273269,164519,202389,178233,299182,249265,443040,154727,442558,199163,398594,9496.9,0,0,17464.8,0,227065,227630,240487,275140,1708.9,217570,165372,3481.94,9129.17,3278.31,45773.9,135744,3889.51,127118,106802,210618
Q61285|ABCD2_MOUSE,ATP-binding cassette sub-family D member 2 (Adrenoleukodystrophy-related protein),Abcd2,6,1,41730.8,72052.9,95916.1,65326.5,70989.4,48629,52034.1,61937,37963.1,43464.1,77152.5,69873,45212.8,77441.2,63028.2,54478.1,64598.2,69126.6,59684.2,64923.6,36370.3,45645.8,55321.9,51543.2,48066.5,24569.9,45133.8,45262.8,53877.8,0,56734.8,41760.5,36772.6,35759.6,40221.7,49906.3,60615.6,30065.8,50799.4,46345.9,45280.3,64541.9
P50544|ACADV_MOUSE,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.9) (MVLCAD) (VLCAD)",Acadvl,6,1,0,0,136.91,11198.2,41921.8,63583.1,30737,48820,14235,33232.2,0,58084.2,31300.8,1442.02,33329,3852.32,50129.6,51319.4,49289.3,43916.7,1182.83,70340.4,3063.71,24207.8,31578.5,22374.8,43686.6,34001.6,25639.9,0,23727.6,34088.9,57175.1,48835.3,61379,59263.5,57855.9,15390.3,27566.2,48300.5,40039,34830.2
Q3URE1|ACSF3_MOUSE,"Malonate--CoA ligase ACSF3, mitochondrial (EC 6.2.1.n3) (Acyl-CoA synthetase family member 3)",Acsf3,4,1,107206,85401.6,84414.1,104694,78582.6,137940,71721.5,127365,184147,102327,47630.3,46036.5,127821,78421.5,103617,96251.9,100643,86630.9,119901,16957,40388.2,76934.6,92991.6,90185.1,130113,193774,143074,114884,78648.2,0,90261.5,93007.3,132862,142348,112629,110549,85106,154363,61903.1,64727.1,70244.9,65155.4
Q14DH7|ACSS3_MOUSE,"Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 3) (Propionate--CoA ligase) (EC 6.2.1.17)",Acss3,6,1,161644,182597,154449,221208,67204.1,174239,91384.4,207692,80453.9,272169,161191,192105,314127,166197,214168,218178,119629,113520,98209,129582,120943,322493,277846,266779,344283,676503,278825,258275,271503,0,272980,296530,373825,364503,337928,266596,235246,365446,252368,292977,285917,254588
Q8BFZ3|ACTBL_MOUSE,Beta-actin-like protein 2 (Kappa-actin),Actbl2,5,1,5202.46,0,4908.43,4218.3,0,21495.9,21103.8,13728.1,13594.3,19856.1,2222.77,6070.58,47914.5,7852.34,7052.57,0,2429.1,19157.8,6253.36,5173.33,8414.5,18072.4,7095.88,9287.61,0,0,8019.32,7181.15,0,0,0,8493.01,9554.7,11773.8,11814.6,7988.19,3499.94,12470.7,2621.9,16875.3,9846.07,7944.12
